ID,Domain,Education,Skills and Achievements,Experience,Job_type,Annotator-1,Annotator-2,Resume_Text,Weight_Annotator1,Weight_Annotator2,Dynamic_GT
74552449,Banking,"Master of Science in International Trade, Universidad Carlos III de Madrid, Spain (2014) — coursework in international trade policies and laws. Bachelor of Science in Business Administration and Direction, Universidad Pública de Navarra, Spain (2013)","Skilled in cash handling, loan operations, financial reporting, analysis, and risk identification. Proficient in MS Excel and MS Office; adept at business negotiation, communication, and team leadership. Multilingual (Spanish). Experienced with Salesforce, TapScan, Photoshop, Illustrator, HTML, and public relations tools such as Factiva and Bacon’s Mediasource. Recognized for client interfacing and developing marketing strategies to drive business growth","Professional (11/2016–Present)—opened and managed customer accounts (checking, savings, credit lines), balanced vault inventory with zero error rate, ensured regulatory compliance, and provided client issue resolution and service excellence. Banking Employee (05/2014–08/2015)—handled daily banking operations, account management, and customer support. Intern (06/2013–09/2013)—managed online systems and developed educational and financial documentation. Banking Intern (06/2012–09/2012)—supported account opening, cash processing, and compliance tracking",Entry-level,0.8,0.88,"Master of Science in International Trade, Universidad Carlos III de Madrid, Spain (2014) — coursework in international trade policies and laws. Bachelor of Science in Business Administration and Direction, Universidad Pública de Navarra, Spain (2013) Skilled in cash handling, loan operations, financial reporting, analysis, and risk identification. Proficient in MS Excel and MS Office; adept at business negotiation, communication, and team leadership. Multilingual (Spanish). Experienced with Salesforce, TapScan, Photoshop, Illustrator, HTML, and public relations tools such as Factiva and Bacon’s Mediasource. Recognized for client interfacing and developing marketing strategies to drive business growth Professional (11/2016–Present)—opened and managed customer accounts (checking, savings, credit lines), balanced vault inventory with zero error rate, ensured regulatory compliance, and provided client issue resolution and service excellence. Banking Employee (05/2014–08/2015)—handled daily banking operations, account management, and customer support. Intern (06/2013–09/2013)—managed online systems and developed educational and financial documentation. Banking Intern (06/2012–09/2012)—supported account opening, cash processing, and compliance tracking Banking Entry-level",0.2352941487889236,0.7647058512110765,0.8611764680968862
79041971,Banking,"High School Diploma, Federal Way Senior High School, United States (2010","Strong leadership, team management, and client relations abilities. Skilled in supervision, staff training, multitasking, and decision-making under pressure. Proficient in recruiting, sales growth strategies, performance planning, and maintaining customer satisfaction. Recognized for improving sales performance (23% increase) and developing incentive programs that enhanced employee motivation and engagement.","Banking Professional (Aug 2013–Present)—oversees daily operations, client service, and staff performance within the banking domain. Store Manager (Aug 2012–Nov 2012)—managed team of 10; launched new store, trained staff, created incentive performance plans leading to a 23% sales increase, and surpassed quarterly revenue targets. Store Manager (Feb 2008–Jun 2012)—led team of 6; implemented standardized employee training, improved customer satisfaction by 12%, handled cash reconciliation, sales supervision, and issue resolution.",Mid-level,0.4,0.75,"High School Diploma, Federal Way Senior High School, United States (2010 Strong leadership, team management, and client relations abilities. Skilled in supervision, staff training, multitasking, and decision-making under pressure. Proficient in recruiting, sales growth strategies, performance planning, and maintaining customer satisfaction. Recognized for improving sales performance (23% increase) and developing incentive programs that enhanced employee motivation and engagement. Banking Professional (Aug 2013–Present)—oversees daily operations, client service, and staff performance within the banking domain. Store Manager (Aug 2012–Nov 2012)—managed team of 10; launched new store, trained staff, created incentive performance plans leading to a 23% sales increase, and surpassed quarterly revenue targets. Store Manager (Feb 2008–Jun 2012)—led team of 6; implemented standardized employee training, improved customer satisfaction by 12%, handled cash reconciliation, sales supervision, and issue resolution. Banking Mid-level",0.30303032690541515,0.6969696730945848,0.6439393855831047
77156708,Banking,"Master of Management, Business Management — Colorado State University (05/2017). Bachelor of Arts, Applied Economics — National University of Kaohsiung, Taiwan (05/2013).","NMLS #1796859; business development; project management; Confluence/Jira/Salesforce/SQL; financial analysis & statements; pricing strategy; budgeting; credit/underwriting; due diligence; documentation; marketing & PR; MS Office, G Suite, Keynote; bilingual Mandarin. Top 1 Mortgage Originator & Top 3 Loan Sales (North Denver); drove +200% membership growth; +10% reporting efficiency.","Banking Officer (10/2018–Current)—BSA/AML/OFAC compliance; credit analysis & underwriting; top producer; realtor & SMB relationships; supervised Asian Banking Center and community outreach. Director of Finance (05/2019–Current)—budgeting, financial strategy, statements, pricing leading to +200% membership. Marketing Specialist (08/2017–09/2018)—digital strategy, collateral, 10+ partnerships. Retail Store Manager (08/2014–07/2015)—ops, POS rollout, records.",Mid-level,0.84,0.97,"Master of Management, Business Management — Colorado State University (05/2017). Bachelor of Arts, Applied Economics — National University of Kaohsiung, Taiwan (05/2013). NMLS #1796859; business development; project management; Confluence/Jira/Salesforce/SQL; financial analysis & statements; pricing strategy; budgeting; credit/underwriting; due diligence; documentation; marketing & PR; MS Office, G Suite, Keynote; bilingual Mandarin. Top 1 Mortgage Originator & Top 3 Loan Sales (North Denver); drove +200% membership growth; +10% reporting efficiency. Banking Officer (10/2018–Current)—BSA/AML/OFAC compliance; credit analysis & underwriting; top producer; realtor & SMB relationships; supervised Asian Banking Center and community outreach. Director of Finance (05/2019–Current)—budgeting, financial strategy, statements, pricing leading to +200% membership. Marketing Specialist (08/2017–09/2018)—digital strategy, collateral, 10+ partnerships. Retail Store Manager (08/2014–07/2015)—ops, POS rollout, records. Banking Mid-level",0.27777780246913325,0.7222221975308667,0.9338888856790126
24580361,Banking,"B.S. in Operations Management, University of Delaware (2013); Minor in Economics; GPA 3.978/4.0. Awards: Distinguished Operations Management Junior, Alpha Lambda Delta, National Society of Collegiate Scholars, Dean’s List (all semesters).","Microsoft Office (Excel/PowerPoint/Word/Access), SAP, Minitab, Maple, Lingo, HTML; Six Sigma exposure; detail-oriented, analytical, troubleshooting/problem solving; strong communication, time management, organization, leadership.","Associate, Investment Banking Operations (07/2013–Present)—operations role (firm/city undisclosed). Intern, Syndicated Loan Operations (06/2012–12/2012)—maintained 150+ deals/1000+ loans; processed loan activity/cash flows; monitored past dues; partnered with agent banks; issued weekly status; led month-end controls. Intern, Derivatives Operations (12/2011–05/2012)—built client contact DB; produced exec scorecards; automated compliance reporting (equity/credit derivatives).",Senior-level,0.76,0.97,"B.S. in Operations Management, University of Delaware (2013); Minor in Economics; GPA 3.978/4.0. Awards: Distinguished Operations Management Junior, Alpha Lambda Delta, National Society of Collegiate Scholars, Dean’s List (all semesters). Microsoft Office (Excel/PowerPoint/Word/Access), SAP, Minitab, Maple, Lingo, HTML; Six Sigma exposure; detail-oriented, analytical, troubleshooting/problem solving; strong communication, time management, organization, leadership. Associate, Investment Banking Operations (07/2013–Present)—operations role (firm/city undisclosed). Intern, Syndicated Loan Operations (06/2012–12/2012)—maintained 150+ deals/1000+ loans; processed loan activity/cash flows; monitored past dues; partnered with agent banks; issued weekly status; led month-end controls. Intern, Derivatives Operations (12/2011–05/2012)—built client contact DB; produced exec scorecards; automated compliance reporting (equity/credit derivatives). Banking Senior-level",0.32258066805410723,0.6774193319458928,0.9022580597086374
34953092,Banking,"M.S. Computer Engineering, University of Missouri–Columbia (2016), GPA 3.46; Graduate Research Assistant. B.S. Finance & Banking, University of Missouri–Columbia (2013), Minor in Mathematics; VP, Chinese Business Student Association.","C/C++, Python, MATLAB, SQL, R, LUA, VBA; ML (supervised/unsupervised/DNN); forecasting & financial analysis; English/Chinese. Built VBA systems improving workflow (up to 20%); SQL research; image-processing pipeline (+30% speed).","Corporate Banking Assistant, Intern (May–Aug 2015)—commercial mortgage risk reports (appraisal, cash flow, RAROC, sensitivity), SME research in SQL, VBA documentation system. Office Assistant, Intern (Jun–Aug 2012)—VBA feedback system (+20% team efficiency), SOP updates. Undergraduate Researcher (Mar 2011–May 2012)—image classification (+30% speed), wildlife ML labeling. Assistant Analyst, Intern (Jun–Jul 2010)—China mobile market research; due diligence support.",Entry-level,0.7600000000000001,0.88,"M.S. Computer Engineering, University of Missouri–Columbia (2016), GPA 3.46; Graduate Research Assistant. B.S. Finance & Banking, University of Missouri–Columbia (2013), Minor in Mathematics; VP, Chinese Business Student Association. C/C++, Python, MATLAB, SQL, R, LUA, VBA; ML (supervised/unsupervised/DNN); forecasting & financial analysis; English/Chinese. Built VBA systems improving workflow (up to 20%); SQL research; image-processing pipeline (+30% speed). Corporate Banking Assistant, Intern (May–Aug 2015)—commercial mortgage risk reports (appraisal, cash flow, RAROC, sensitivity), SME research in SQL, VBA documentation system. Office Assistant, Intern (Jun–Aug 2012)—VBA feedback system (+20% team efficiency), SOP updates. Undergraduate Researcher (Mar 2011–May 2012)—image classification (+30% speed), wildlife ML labeling. Assistant Analyst, Intern (Jun–Jul 2010)—China mobile market research; due diligence support. Banking Entry-level",0.26086960680528537,0.7391303931947146,0.8486956471833658
17189156,Banking,"High School Diploma (Math), University of California, Riverside — United States.","Microsoft Excel/Word/Outlook; customer engagement; prospecting and sourcing small-business clients; risk/loss mitigation; cash handling; coaching/mentoring; bilingual English–Spanish (reading/writing); Notary Public. Recognized by Merchant Manager, Retail Small Business Credit Consultant, and Payroll Partner; nominee for “Searching for Stars.”","Business Banking Specialist (01/2016–Current)—source/acquire SMB clients; build relationships; meet individual/team goals; ensure service quality; organize/prioritize work. Personal Banker (01/2014–01/2016)—branch platform/teller oversight; coach staff; mitigate losses/risks; community/business hub outreach; counsel customers; handle loans/accounts; notary services. Lead Teller (01/2013–01/2014)—manage teller workflow, referrals/sales, cash balancing; resolve conflicts; train team; ensure audit/ops compliance.",Mid-level,0.43,0.73,"High School Diploma (Math), University of California, Riverside — United States. Microsoft Excel/Word/Outlook; customer engagement; prospecting and sourcing small-business clients; risk/loss mitigation; cash handling; coaching/mentoring; bilingual English–Spanish (reading/writing); Notary Public. Recognized by Merchant Manager, Retail Small Business Credit Consultant, and Payroll Partner; nominee for “Searching for Stars.” Business Banking Specialist (01/2016–Current)—source/acquire SMB clients; build relationships; meet individual/team goals; ensure service quality; organize/prioritize work. Personal Banker (01/2014–01/2016)—branch platform/teller oversight; coach staff; mitigate losses/risks; community/business hub outreach; counsel customers; handle loans/accounts; notary services. Lead Teller (01/2013–01/2014)—manage teller workflow, referrals/sales, cash balancing; resolve conflicts; train team; ensure audit/ops compliance. Banking Mid-level",0.428571438775509,0.571428561224491,0.6014285683673473
19920687,Banking,"BS, Electrical & Computer Engineering—Univ. of Michigan. Certificate, Project Management—UC Irvine (2015).","Sales/loan origination, consultative selling, branch ops/compliance, training/coaching, audits/reconcilements. Licensed Financial Specialist (2008–2010). Windsor Capital Top/Platinum/Gold/Silver awards; Top Sales Producer.","Assistant Banking Center Manager (2011–2014)—led 5 bankers; ops/compliance; training; lending. Licensed Financial Specialist, Wells Fargo (2008–2010)—met high deposit/investment/credit goals. Field Account Exec, Accredited (2006–2007)—$6M+/mo subprime. Senior Loan Officer (2000–2006)—$100M funded; hired/trained.",Senior-level,0.6900000000000001,0.8,"BS, Electrical & Computer Engineering—Univ. of Michigan. Certificate, Project Management—UC Irvine (2015). Sales/loan origination, consultative selling, branch ops/compliance, training/coaching, audits/reconcilements. Licensed Financial Specialist (2008–2010). Windsor Capital Top/Platinum/Gold/Silver awards; Top Sales Producer. Assistant Banking Center Manager (2011–2014)—led 5 bankers; ops/compliance; training; lending. Licensed Financial Specialist, Wells Fargo (2008–2010)—met high deposit/investment/credit goals. Field Account Exec, Accredited (2006–2007)—$6M+/mo subprime. Senior Loan Officer (2000–2006)—$100M funded; hired/trained. Banking Senior-level",0.5789473601108042,0.4210526398891959,0.7363157903878117
26579709,Banking,"Bachelor’s in Business Administration—Finance, Ashworth College (in progress).",FDCPA/FCRA/bankruptcy & GSE guidelines; audit & QC; complaint resolution; MS Office/Oracle; systems incl. MSP/LPS. Built EMS Audit Guide & QC process; consistent “Exceeds” ratings.,Mortgage Banking Research Specialist (02/2010–Current)—lead 30+ agents; EO complaint compliance/QC; trends & audits. Sr. Loss Prevention Lead (2005–2009). Loss Prevention Supervisor (2001–2005). Assistant Facilities Manager (1998–2000).,Senior-level,0.72,0.83,"Bachelor’s in Business Administration—Finance, Ashworth College (in progress). FDCPA/FCRA/bankruptcy & GSE guidelines; audit & QC; complaint resolution; MS Office/Oracle; systems incl. MSP/LPS. Built EMS Audit Guide & QC process; consistent “Exceeds” ratings. Mortgage Banking Research Specialist (02/2010–Current)—lead 30+ agents; EO complaint compliance/QC; trends & audits. Sr. Loss Prevention Lead (2005–2009). Loss Prevention Supervisor (2001–2005). Assistant Facilities Manager (1998–2000). Banking Senior-level",0.40000002666665896,0.599999973333341,0.7859999970666675
29093426,Banking,"High School Diploma—Accounting & Bookkeeping, George Westinghouse Career Academy (06/2000); R.E.A.D.Y. youth program.","Risk analysis, tax-return income calc, DU/LP, FNMA/FHLMC, data entry, workflows; PMI MI Diamond award; authority to $750k; 4.5 files/day; HARP audits; staff training.",Underwriter II (04/2017–Now); Sr Remote UW (11/2016–03/2017); Remote UW (12/2012–10/2016); Sr UW Support (06/2007–11/2012); UW Support II (01/2005–05/2007); UW Asst (06/2001–12/2004).,Senior-level,0.7,0.75,"High School Diploma—Accounting & Bookkeeping, George Westinghouse Career Academy (06/2000); R.E.A.D.Y. youth program. Risk analysis, tax-return income calc, DU/LP, FNMA/FHLMC, data entry, workflows; PMI MI Diamond award; authority to $750k; 4.5 files/day; HARP audits; staff training. Underwriter II (04/2017–Now); Sr Remote UW (11/2016–03/2017); Remote UW (12/2012–10/2016); Sr UW Support (06/2007–11/2012); UW Support II (01/2005–05/2007); UW Asst (06/2001–12/2004). Banking Senior-level",0.4615384733727769,0.5384615266272231,0.7269230763313612
33286293,Banking,"B.A., Duke University (2016) cum laude, GPA 3.8; Dean’s List ’13–’16; GMAT 740. Study abroad: UAB, Spain (Fall ’14). Rye Country Day School (2012); SAT 2250 (800M/720CR/730W).","DCF/LBO modeling, comps, due diligence, market research, investor decks; MS Office; public speaking; Spanish (proficient). Led philanthropy (1,000+ hrs; $7.5k+ raised).",IB Summer Analyst (07/2015)—valued TMT firms; Evertec case; Ascensus sale; ~$3B media deal modeling; global sports/media research. Intern (2014)—equity eval & asset allocation. Intern (2013)—HNW lead gen & portfolio work.,Entry-level,0.19,0.83,"B.A., Duke University (2016) cum laude, GPA 3.8; Dean’s List ’13–’16; GMAT 740. Study abroad: UAB, Spain (Fall ’14). Rye Country Day School (2012); SAT 2250 (800M/720CR/730W). DCF/LBO modeling, comps, due diligence, market research, investor decks; MS Office; public speaking; Spanish (proficient). Led philanthropy (1,000+ hrs; $7.5k+ raised). IB Summer Analyst (07/2015)—valued TMT firms; Evertec case; Ascensus sale; ~$3B media deal modeling; global sports/media research. Intern (2014)—equity eval & asset allocation. Intern (2013)—HNW lead gen & portfolio work. Banking Entry-level",0.4687500039062495,0.5312499960937506,0.5299999975000004
