resume_id,domain,predicted_score,ground_truth_score,decision,confidence
,Banking,6.0,0.8400000000000001,Hire,7.0
,Banking,6.0,0.575,Hold,7.0
,Banking,7.1,0.905,Hold,8.0
,Banking,6.0,0.865,Hold,7.0
,Banking,7.0,0.8200000000000001,Hire,7.0
,Banking,6.0,0.58,Hire,7.0
,Banking,7.0,0.7450000000000001,Hold,7.0
,Banking,5.5,0.7749999999999999,Hold,7.0
,Banking,5.5,0.725,Hold,7.0
,Banking,6.5,0.51,Hold,7.0
,Banking,6.0,0.835,Hold,7.0
,Banking,6.5,0.655,Hold,7.0
,Banking,6.5,0.6399999999999999,Hold,7.0
,Banking,6.8,0.915,Hold,7.0
,Banking,4.0,0.825,Hold,6.0
,Banking,4.0,0.625,Hold,6.0
,Banking,6.0,0.7949999999999999,Hold,7.0
,Banking,5.4,0.815,Hold,7.0
,Banking,7.5,0.9299999999999999,Hold,7.0
,Banking,6.0,0.73,Hold,7.0
,Banking,8.3,0.9099999999999999,Hire,8.0
,Banking,6.0,0.8049999999999999,Hold,7.0
,Banking,6.5,0.5650000000000001,Hold,7.0
,Banking,8.5,0.885,Hire,9.0
,Banking,8.0,0.8799999999999999,Hire,8.0
,Banking,8.0,0.8999999999999999,Hire,8.0
,Banking,8.6,0.915,Hire,10.0
,Banking,5.0,0.73,Hold,10.0
,Banking,7.0,0.855,Hold,7.0
,Banking,7.0,0.79,Hold,7.0
,Banking,5.0,0.645,Hold,7.0
,Banking,6.38,0.68,Hire,7.0
,Banking,6.0,0.565,Hire,7.0
,Banking,7.0,0.8300000000000001,Hold,7.0
,Banking,6.0,0.51,Hold,7.0
,Banking,6.0,0.895,Hold,7.0
,Banking,6.0,0.865,Hold,7.0
,Banking,7.25,0.895,Hold,7.0
,Banking,6.0,0.6699999999999999,Hold,7.0
,Banking,8.0,0.825,Hire,8.5
,Banking,6.0,0.71,Hold,10.0
,Banking,6.0,0.68,Hold,7.0
,Banking,5.0,0.6499999999999999,Hold,7.0
,Banking,6.0,0.845,Hold,7.0
,Banking,6.5,0.715,Hold,7.0
,Banking,8.2,0.875,Hire,8.0
,Banking,5.5,0.815,Hold,7.0
,Banking,4.5,0.41,Hold,7.0
,Banking,7.5,0.7949999999999999,Hold,8.0
,Banking,8.0,0.845,Hold,7.5
,Finance,6.0,0.65,Hold,7.0
,Finance,5.12,0.73,Hold,0.7
,Finance,8.4,0.91,Hire,8.0
,Finance,7.0,0.87,Hold,7.0
,Finance,7.0,0.87,Hire,8.0
,Finance,6.5,0.7350000000000001,Hold,7.0
,Finance,7.0,0.885,Hold,7.0
,Finance,7.38,0.815,Hold,7.0
,Finance,7.0,0.905,Hold,7.0
,Finance,7.0,0.835,Hire,7.0
,Finance,8.0,0.89,Hire,8.0
,Finance,5.5,0.795,Hold,7.5
,Finance,8.5,0.9199999999999999,Hire,9.0
,Finance,5.5,0.75,Hold,7.0
,Finance,8.5,0.87,Hire,8.0
,Finance,7.5,0.855,Hire,8.0
,Finance,7.5,0.815,Hire,8.0
,Finance,7.5,0.905,Hire,8.0
,Finance,6.5,0.845,Hold,7.0
,Finance,8.0,0.885,Hire,8.5
,Finance,7.5,0.94,Hold,8.0
,Finance,6.0,0.81,Hold,7.0
,Finance,6.0,0.85,Hold,7.0
,Finance,7.0,0.86,Hire,8.0
,Finance,6.88,0.8200000000000001,Hold,7.0
,Finance,6.0,0.655,Hold,7.0
,Finance,7.5,0.915,Hold,7.0
,Finance,5.5,0.74,Hold,7.0
,Finance,7.0,0.74,Hold,7.0
,Finance,6.5,0.845,Hold,7.0
,Finance,6.7,0.805,Hold,7.0
,Finance,7.0,0.9,Hire,8.0
,Finance,4.0,0.54,Hold,6.0
,Finance,7.5,0.745,Hold,8.0
,Finance,5.5,0.8049999999999999,Hold,7.0
,Finance,5.0,0.5,Hold,7.0
,Finance,8.0,0.94,Hire,8.0
,Finance,6.5,0.8400000000000001,Hold,7.0
,Finance,7.2,0.92,Hold,7.0
,Finance,7.5,0.87,Hold,8.0
,Finance,7.0,0.87,Hire,8.0
,Finance,7.5,0.88,Hire,8.0
,Finance,6.0,0.605,Hold,7.0
,Finance,7.0,0.86,Hold,7.0
,Finance,7.5,0.885,Hire,8.0
,Finance,7.0,0.85,Hire,7.0
,Finance,3.4,0.555,Hold,6.0
,Finance,6.5,0.8049999999999999,Hold,7.0
,Finance,6.0,0.815,Hold,7.0
,Finance,7.2,0.7250000000000001,Hire,8.0
,ACCOUNTANT,6.0,0.81,Hold,7.0
,ACCOUNTANT,6.0,0.79,Hold,7.0
,ACCOUNTANT,7.5,0.8999999999999999,Hire,8.0
,ACCOUNTANT,5.0,0.8200000000000001,Hold,7.0
,ACCOUNTANT,5.8,0.875,Hold,7.0
,ACCOUNTANT,7.0,0.89,Hold,7.0
,ACCOUNTANT,6.5,0.88,Hold,7.0
,ACCOUNTANT,7.0,0.8200000000000001,Hold,7.0
,ACCOUNTANT,6.8,0.8500000000000001,Hold,7.0
,ACCOUNTANT,7.0,0.835,Hire,8.0
,ACCOUNTANT,6.4,0.8400000000000001,Hold,7.0
,ACCOUNTANT,8.0,0.8400000000000001,Hire,8.0
,ACCOUNTANT,6.5,0.785,Hold,7.0
,ACCOUNTANT,7.5,0.7749999999999999,Hold,7.0
,ACCOUNTANT,5.0,0.815,Hold,6.0
,ACCOUNTANT,6.5,0.8049999999999999,Hold,7.0
,ACCOUNTANT,8.0,0.8600000000000001,Hire,8.0
,ACCOUNTANT,6.8,0.855,Hold,7.0
,ACCOUNTANT,7.0,0.84,Hold,7.0
,ACCOUNTANT,6.5,0.9,Hold,7.0
,ACCOUNTANT,7.0,0.835,Hold,7.0
,ACCOUNTANT,6.5,0.88,Hold,7.0
,ACCOUNTANT,7.5,0.845,Hold,8.0
