resume_id,domain,predicted_score,ground_truth_score,decision,confidence
,Banking,6.0,8.611764680968863,Hire,7.0
,Banking,6.0,6.439393855831047,Hold,7.0
,Banking,7.1,9.338888856790126,Hold,8.0
,Banking,6.0,9.022580597086375,Hold,7.0
,Banking,7.0,8.486956471833658,Hire,7.0
,Banking,6.0,6.014285683673473,Hire,7.0
,Banking,7.0,7.3631579038781165,Hold,7.0
,Banking,5.5,7.859999970666674,Hold,7.0
,Banking,5.5,7.269230763313612,Hold,7.0
,Banking,6.5,5.299999975000004,Hold,7.0
,Banking,6.0,8.415624991796877,Hold,7.0
,Banking,6.5,6.80909086198348,Hold,7.0
,Banking,6.5,6.245161310301767,Hold,7.0
,Banking,6.8,9.386363593388436,Hold,7.0
,Banking,4.0,8.318749991406252,Hold,6.0
,Banking,4.0,6.599999951724143,Hold,6.0
,Banking,6.0,8.031914886645541,Hold,7.0
,Banking,5.4,8.195348832990808,Hold,7.0
,Banking,7.5,9.31304347599244,Hold,7.0
,Banking,6.0,7.614285624489825,Hold,7.0
,Banking,8.3,9.020000015999996,Hire,8.0
,Banking,6.0,8.125581388318011,Hold,7.0
,Banking,6.5,6.868181596694255,Hold,7.0
,Banking,8.5,8.758333343518519,Hire,9.0
,Banking,8.0,8.870967732778357,Hire,8.0
,Banking,8.0,9.192307672583828,Hire,8.0
,Banking,8.6,9.161290321123833,Hire,10.0
,Banking,5.0,7.96111103765433,Hold,10.0
,Banking,7.0,8.5400000016,Hold,7.0
,Banking,7.0,8.136842055401672,Hold,7.0
,Banking,5.0,6.865384551479298,Hold,7.0
,Banking,6.38,6.800000000000001,Hire,7.0
,Banking,6.0,6.551999855680023,Hire,7.0
,Banking,7.0,8.285714287755102,Hold,7.0
,Banking,6.0,4.500000099999982,Hold,7.0
,Banking,6.0,8.896428575255102,Hold,7.0
,Banking,6.0,8.669565213988658,Hold,7.0
,Banking,7.25,8.95,Hold,7.0
,Banking,6.0,6.999999962500006,Hold,7.0
,Banking,8.0,8.19117647750865,Hire,8.5
,Banking,6.0,7.2399999813333356,Hold,10.0
,Banking,6.0,6.851428565551023,Hold,7.0
,Banking,5.0,6.757894709695293,Hold,7.0
,Banking,6.0,8.406666672444445,Hold,7.0
,Banking,6.5,7.166666662962964,Hold,7.0
,Banking,8.2,8.779999992000002,Hire,8.0
,Banking,5.5,8.12500000357143,Hold,7.0
,Banking,4.5,4.804545390495874,Hold,7.0
,Banking,7.5,7.8428572040815965,Hold,8.0
,Banking,8.0,8.541463405710886,Hold,7.5
,Finance,6.0,6.26000009599996,Hold,7.0
,Finance,5.12,7.204000015359997,Hold,0.7
,Finance,8.4,9.033333377777751,Hire,8.0
,Finance,7.0,8.785714261224499,Hold,7.0
,Finance,7.0,8.726315783933519,Hire,8.0
,Finance,6.5,7.3933333217777815,Hold,7.0
,Finance,7.0,8.876923068639057,Hold,7.0
,Finance,7.38,8.424999908333364,Hold,7.0
,Finance,7.0,9.223076869822503,Hold,7.0
,Finance,7.0,8.746666560888917,Hire,7.0
,Finance,8.0,9.128571363265326,Hire,8.0
,Finance,5.5,7.95,Hold,7.5
,Finance,8.5,9.361538411834335,Hire,9.0
,Finance,5.5,7.608695633270324,Hold,7.0
,Finance,8.5,8.366666777777741,Hire,8.0
,Finance,7.5,8.606249985937504,Hire,8.0
,Finance,7.5,8.366666522222319,Hire,8.0
,Finance,7.5,9.028571434693877,Hire,8.0
,Finance,6.5,8.552941152249142,Hold,7.0
,Finance,8.0,8.854545452892562,Hire,8.5
,Finance,7.5,9.350000016666662,Hold,8.0
,Finance,6.0,8.276470546712812,Hold,7.0
,Finance,6.0,8.5,Hold,7.0
,Finance,7.0,8.603999999360001,Hire,8.0
,Finance,6.88,8.200000000000001,Hold,7.0
,Finance,6.0,6.838461494082847,Hold,7.0
,Finance,7.5,9.136363641322314,Hold,7.0
,Finance,5.5,7.52857141632653,Hold,7.0
,Finance,7.0,7.40967741810614,Hold,7.0
,Finance,6.5,8.457142853061226,Hold,7.0
,Finance,6.7,8.038461542011834,Hold,7.0
,Finance,7.0,8.900000033333322,Hire,8.0
,Finance,4.0,6.3219511295657425,Hold,6.0
,Finance,7.5,7.45,Hold,8.0
,Finance,5.5,7.9666667037036865,Hold,7.0
,Finance,5.0,5.611999902080017,Hold,7.0
,Finance,8.0,9.392307694674557,Hire,8.0
